trade_date,open0,high0,low0,close0,vol0,open1,high1,close1,low1,vol1,open2,high2,close2,low2,vol
20180420,115.3254,117.9584,113.1137,113.219,153393.4,3105.46,3111.17,3071.54,3065.92,1551470.88,10571.99,10619.17,10408.91,10392.69,196805696
20180423,116.2733,118.3797,109.9541,116.0626,200278.17,3063.44,3085.06,3068.01,3045.94,1316863.38,10416.78,10471.21,10330.63,10228.09,179579808
20180424,115.7467,117.4318,114.2722,117.2212,190048.15,3069.75,3136.04,3128.93,3069.75,1622748,10325.51,10556.82,10556.82,10325.51,190970000
20180425,116.3786,119.7488,115.9573,118.6956,171137.31,3112.4,3122.91,3117.97,3107,1273110.5,10503.94,10579.18,10547.1,10488.87,183348352
20180426,117.9584,118.801,113.219,113.219,174564.1,3119.5,3121.93,3075.03,3067.93,1339727.38,10495.03,10508.01,10292.12,10290.37,186332448
20180427,113.7456,114.7988,111.1126,111.4286,123918.75,3082.41,3088.03,3082.23,3049.91,1312256.38,10353.02,10382.77,10324.47,10239.97,164776512
20180502,111.5339,113.219,109.1115,110.3754,102349.18,3087.41,3097.6,3081.18,3064.76,1341845.62,10356.19,10433.28,10342.85,10283.52,160567088
20180503,109.8488,111.8498,107.953,110.586,117612.18,3074.52,3105.66,3100.86,3056.16,1399856.25,10329.16,10459.39,10458.62,10228.26,177743312
20180504,110.586,111.1126,109.6381,110.27,71063.87,3093.12,3104.09,3091.03,3086.78,1187112.62,10428.85,10490.06,10426.19,10411.83,150582432
20180507,111.1126,112.5871,110.27,111.7445,105948.88,3094.9,3136.84,3136.64,3091.66,1389481.88,10456.43,10626.51,10626.51,10450.49,174177184
20180508,112.3764,115.1148,112.1658,112.5871,155131.45,3135.3,3169.7,3161.5,3134.06,1469270.62,10632.11,10721.98,10707.8,10630.58,182770928
20180509,112.6924,112.903,111.1126,111.4286,96269.57,3160.14,3165.37,3159.15,3145.66,1226372.62,10693.22,10705.15,10689.07,10639.92,169498640
20180510,111.9552,112.1658,109.7434,110.4807,88822.57,3169.05,3176.14,3174.41,3155.53,1330007.5,10706.73,10742.64,10729.77,10651.87,180925296
20180511,110.586,111.2179,109.7434,110.4807,84185.74,3179.8,3180.76,3163.26,3162.21,1306597.5,10748.89,10752.82,10634.3,10634.23,180171408
20180514,110.27,111.3232,109.5328,109.7434,90863.16,3167.04,3183.82,3174.03,3163.48,1293273.5,10649.11,10723.79,10671.46,10641.29,169570272
20180515,109.7434,109.8488,107.3211,109.5328,97921.07,3180.42,3192.81,3192.12,3164.52,1245490.5,10692.82,10747.99,10747.99,10632.55,157932640
20180516,109.3222,109.3222,107.1104,107.4264,118898,3180.23,3191.95,3169.57,3166.81,1305249.62,10713.59,10776.43,10701.32,10691.14,165521872
20180517,107.4264,107.7424,105.5306,106.4785,88710.68,3170.01,3172.77,3154.28,3148.62,1139955.62,10702.07,10713.71,10635.5,10615.92,150682896
20180518,106.0572,106.8998,104.7934,106.2679,89115.17,3151.08,3193.45,3193.3,3144.78,1365169.12,10623.91,10679.51,10672.52,10557.75,154568048
20180521,106.2679,107.8477,106.2679,107.2158,97710.71,3206.18,3219.74,3213.84,3203.34,1644594.12,10741.19,10789.76,10765.35,10731.61,191005744
20180522,107.4264,107.953,106.2679,107.3211,86767.62,3211.25,3214.59,3214.35,3192.23,1442926.88,10754.7,10765.81,10765.81,10689.51,179543856
20180523,106.8998,107.0051,104.1615,104.2668,137642.54,3205.44,3205.44,3168.96,3168.96,1578076.5,10746.82,10746.82,10631.12,10631.12,186496576
20180524,104.4774,104.4774,102.371,102.371,117355.08,3167.94,3173.53,3154.65,3152.07,1240858,10632.5,10657.45,10564.13,10552.35,158449312
20180525,102.687,106.5838,101.7391,104.8987,162994.82,3148.41,3156.73,3141.3,3131.07,1286108.38,10550.63,10576.81,10448.22,10435.95,172760864
20180528,104.2668,104.6881,101.8444,101.8444,105825.11,3136.81,3149.66,3135.08,3115.96,1287559.12,10439.65,10536.57,10465.54,10382.72,169664096
20180529,101.8444,102.0551,99.1061,99.3168,109704.2,3129.62,3143.21,3120.46,3112.15,1357178,10446.99,10517.14,10349.07,10347.94,168436144
20180530,99.0008,99.0008,94.0508,95.2093,135699.25,3081.14,3085.4,3041.44,3041,1551151.25,10203.66,10252.15,10105.79,10097.48,197606896
20180531,96.0518,97.105,94.5774,95.5252,88100.35,3061.83,3098.08,3095.47,3054.27,1404755.38,10178.96,10295.73,10295.73,10115.66,174687664
20180601,95.3146,99.2114,94.788,98.6848,174862.61,3084.75,3102.09,3075.14,3059.79,1298722,10247.16,10280.74,10169.35,10122.99,162718880
20180604,98.0529,99.4221,97.6316,97.6316,62754.64,3083.43,3098.4,3091.19,3076.99,1145939,10192.04,10237.6,10204.32,10148.69,145772240
20180605,97.5263,99.1061,96.3678,98.4742,79630.48,3088.01,3114.77,3114.21,3080.05,1187355.88,10216.63,10385.61,10385.61,10216.02,152789664
20180606,97.8423,98.6848,97.5263,98.1582,58037.07,3109.17,3117.53,3115.18,3103.53,1201961.38,10375.26,10403.93,10365.13,10337.71,145456736
20180607,98.0529,98.5795,96.1572,96.5784,55938.1,3121.18,3128.72,3109.5,3105.58,1277849.75,10397.65,10411.56,10313.85,10308.06,147571360
20180608,96.4731,96.6838,93.7348,94.5774,74549.52,3100.6,3100.68,3067.15,3053.29,1346882.25,10290.63,10291.9,10205.52,10136.58,151727248
