trade_date,open0,high0,low0,close0,change0,pct_chg0,vol0,open1,high1,close1,low1,vol1,change1,pct_chg1,open2,high2,close2,low2,vol,change2,pct_chg2
20171117,600.3123,630.0784,589.0832,598.4408,-2.0498,-0.3414,1067832.75,3392.68,3403.29,3382.91,3373.3,2494581.5,-16.34,-0.48,11519.92,11555.87,11292.93,11292.93,236670400,-245.03,-2.12
20171120,606.016,628.3851,601.56,626.1571,27.7163,4.6314,944189.45,3361.36,3393.11,3392.4,3337.12,1765246.88,9.49,0.28,11229.58,11437.55,11437.55,11087.53,183784976,144.62,1.28
20171121,626.068,629.2763,607.7984,625.5333,-0.6238,-0.0996,716818.75,3382.36,3419.8,3410.5,3377.6,1968718,18.1,0.53,11419.09,11602.1,11602.1,11407.4,201203936,164.55,1.44
20171122,630.0784,666.2611,614.0368,634.3562,8.8229,1.4105,1056079.94,3417.33,3442.18,3430.46,3404.29,2135671,19.96,0.58,11598.04,11666.13,11560.8,11454.26,196786368,-41.3,-0.36
20171123,620.2752,621.0773,588.4594,595.4998,-38.8564,-6.1253,859166.22,3425.01,3429.42,3351.92,3342.33,2152654,-78.54,-2.29,11520.04,11520.04,11175.47,11162.53,196371024,-385.33,-3.33
20171124,595.3216,599.6885,561.456,563.5949,-31.9049,-5.3577,718345.64,3340.38,3360.75,3353.82,3328.33,1595696.62,1.9,0.06,11135.07,11225.2,11168.39,11058.99,159697136,-7.08,-0.06
20171127,566.0011,575.6261,542.8299,548.5336,-15.0613,-2.6724,589067.77,3346.66,3347.05,3322.23,3315.26,1664391.75,-31.59,-0.94,11126.78,11126.78,10954.18,10936.14,164559024,-214.21,-1.92
20171128,552.544,603.4315,550.8507,597.104,48.5704,8.8546,809736.1,3311.23,3333.8,3333.66,3300.78,1382478,11.43,0.34,10938.4,11091.14,11091.14,10936.4,146029312,136.96,1.25
20171129,592.648,613.6803,577.5867,597.9061,0.8021,0.1343,742635.31,3335.57,3343.06,3337.86,3305.57,1838059.38,4.2,0.13,11095.91,11108.45,11082.13,10936.99,173222704,-9.01,-0.08
20171130,579.8147,596.8366,574.9131,586.9443,-10.9618,-1.8334,491681.73,3328.64,3340.92,3317.19,3306.28,1565958.5,-20.67,-0.62,11036.75,11079.93,10944.1,10908.7,150778320,-138.03,-1.25
20171201,588.0138,622.0576,577.4976,612.6109,25.6666,4.3729,697560.65,3315.11,3324.52,3317.62,3302.44,1391983,0.43,0.01,10941.87,11077.43,11013.15,10926.77,148449120,69.05,0.63
20171204,614.4824,614.4824,591.4003,604.0554,-8.5555,-1.3966,535137.1,3310.38,3324,3309.62,3304.1,1480532.88,-8,-0.24,11007.19,11099.83,11014.55,10993.51,157333824,1.4,0.01
20171205,597.104,602.4512,548.088,559.7627,-44.2927,-7.3326,804184.84,3301.69,3315.74,3303.68,3300.51,2082788.62,-5.94,-0.18,10988.07,11044.18,10854.76,10801.4,177587760,-159.79,-1.45
20171206,560.8322,575.0022,541.8496,570.368,10.6053,1.8946,634805.85,3291.31,3296.2,3293.96,3254.61,1516044.5,-9.72,-0.29,10838.04,10911.33,10911.33,10716.29,158824720,56.57,0.52
20171207,560.1192,562.3472,544.6123,545.0579,-25.3101,-4.4375,464353.9,3283.28,3291.28,3272.05,3259.16,1321059,-21.91,-0.67,10886.26,10925.2,10801.25,10795.84,135430816,-110.08,-1.01
20171208,549.7813,559.3171,539.176,539.176,-5.8819,-1.0791,440001.4,3264.48,3297.13,3289.99,3258.76,1332093.12,17.94,0.55,10789.17,10964.79,10935.06,10789.17,146228432,133.81,1.24
20171211,538.7304,561.456,534.8091,553.7026,14.5266,2.6942,561846.12,3290.49,3322.67,3322.2,3288.29,1319659.88,32.21,0.98,10962.18,11143.26,11143.26,10962.18,158546560,208.2,1.9
20171212,556.1088,563.1493,548.6227,551.5637,-2.1389,-0.3863,434736.02,3320.31,3320.31,3280.81,3280.33,1246048.25,-41.39,-1.25,11145.75,11176.58,11043.21,11043.21,150996416,-100.05,-0.9
20171213,552.2766,556.0197,545.4144,555.7523,4.1886,0.7594,331171.02,3278.4,3304.01,3303.04,3273.32,1119986.5,22.23,0.68,11030.02,11143.89,11143.89,11019.59,133789344,100.68,0.91
20171214,552.544,555.1285,538.8195,541.7605,-13.9918,-2.5176,430326.73,3302.93,3309.53,3292.44,3282.57,1205442.38,-10.6,-0.32,11138.46,11165.61,11110.18,11070.98,145975600,-33.71,-0.3
20171215,552.2766,560.1192,541.7605,545.4144,3.6539,0.6744,438469.88,3287.53,3287.53,3266.14,3259.39,1309406.12,-26.3,-0.8,11092.15,11104.82,10998.12,10970.73,157212224,-112.06,-1.01
20171218,557.1782,560.2083,522.065,523.4018,-22.0126,-4.0359,554884.85,3268.03,3280.54,3267.92,3254.18,1207003.88,1.78,0.05,10991.11,11046.1,10960.12,10916.19,133860384,-38,-0.35
20171219,523.4909,532.6702,521.352,531.8682,8.4664,1.6176,306564.01,3266.02,3296.94,3296.54,3266.02,1151401.38,28.62,0.88,10964.14,11077.18,11074.99,10963.79,130291600,114.87,1.05
20171220,533.9179,552.9896,524.9168,548.088,16.2198,3.0496,467803.2,3296.74,3300.21,3287.61,3276.12,1377451.12,-8.93,-0.27,11072.41,11079.13,11003.33,10988.89,140075904,-71.66,-0.65
20171221,543.632,556.4653,542.2952,550.6725,2.5845,0.4715,385657.89,3281.12,3309.22,3300.06,3267.4,1421279.25,12.45,0.38,10988.77,11149.04,11118.25,10935.22,150891792,114.92,1.04
20171222,550.5834,560.4757,547.375,550.4051,-0.2674,-0.0486,269054.48,3297.69,3307.33,3297.06,3293.44,1240473.25,-3,-0.09,11112.73,11154.75,11094.16,11078.26,129119664,-24.09,-0.22
20171225,548.088,555.0394,533.6506,551.831,1.4259,0.2591,376790.69,3296.21,3312.3,3280.46,3270.44,1468936.38,-16.6,-0.5,11102.16,11132.59,11005.5,10967.37,147971072,-88.66,-0.8
20171226,551.831,552.3658,542.7408,547.0186,-4.8124,-0.8721,205987.62,3277.84,3307.3,3306.12,3274.33,1424345,25.66,0.78,11002.34,11025.1,11021.83,10900.64,139956800,16.33,0.15
20171227,546.3056,551.1181,530.7096,531.5117,-15.5069,-2.8348,309118.16,3302.46,3307.08,3275.78,3270.35,1626748.88,-30.34,-0.92,11007.44,11026.73,10911.21,10911.21,154718704,-110.62,-1
20171228,525.7189,537.8392,522.5106,524.2038,-7.3079,-1.3749,267820.48,3272.29,3304.1,3296.38,3263.73,1753716.75,20.6,0.63,10907.83,11029.09,10974.01,10891.75,159818720,62.8,0.58
20171229,531.1552,536.4133,525.8971,527.0557,2.8519,0.544,181120.87,3295.25,3308.22,3307.17,3292.77,1415868.38,10.79,0.33,10984.86,11040.62,11040.45,10971.64,139772320,66.44,0.6
20180102,534.72,542.2061,524.9168,539.7998,12.7441,2.418,331903.93,3314.03,3349.05,3348.33,3314.03,2022788.62,41.16,1.25,11079.64,11178.05,11178.05,11072.87,163737776,137.6,1.25
20180103,540.1563,557.8912,536.235,552.544,12.7442,2.3609,429169.75,3347.74,3379.92,3369.11,3345.29,2138361.5,20.78,0.62,11181.18,11316.46,11280.3,11171.12,198404752,102.25,0.92
20180104,555.3067,566.625,549.0683,560.9213,8.3773,1.5161,401471.81,3371,3392.83,3385.71,3365.3,2069552.88,16.6,0.49,11270.91,11341.35,11341.35,11259.46,180376496,61.05,0.54
20180105,561.9907,566.4467,550.7616,552.0984,-8.8229,-1.5729,298071.77,3386.46,3402.07,3391.75,3380.25,2130606.75,6.04,0.18,11339.57,11372.29,11342.85,11310.29,187950144,1.5,0.01
20180108,552.7222,554.3264,536.5915,545.9491,-6.1493,-1.1138,292295.86,3391.55,3412.73,3409.48,3384.56,2361651,17.73,0.52,11343.82,11386.04,11382.72,11287.6,203604064,39.87,0.35
20180109,545.4144,552.3658,540.7802,548.3554,2.4063,0.4408,240519.03,3406.11,3417.23,3413.9,3403.59,1914885.5,4.42,0.13,11371.93,11449.6,11447.09,11358.13,184081840,64.37,0.57
20180110,550.5834,550.5834,531.779,538.0174,-10.338,-1.8853,282837.17,3414.11,3430.21,3421.83,3398.84,2090950,7.93,0.23,11439.22,11446.41,11437.08,11345.1,196342704,-10.01,-0.09
20180111,539.176,591.8459,531.9573,591.8459,53.8285,10.005,910275.18,3415.59,3426.48,3425.34,3405.64,1738121.38,3.51,0.1,11411.58,11482.81,11464.2,11372.36,189897920,27.12,0.24
20180112,596.2128,600.6688,576.6064,577.6758,-14.1701,-2.3942,607759.78,3423.88,3435.42,3428.94,3417.98,1740634,3.6,0.1,11459.46,11496.53,11461.99,11420.26,186021472,-2.21,-0.02
20180115,580.1712,590.42,569.2094,579.3691,1.6933,0.2931,519806.45,3428.95,3442.5,3410.49,3402.31,2320092.75,-18.45,-0.54,11453.33,11476.58,11307.46,11277.31,224433728,-154.53,-1.35
20180116,582.6666,592.2915,579.0126,589.3506,9.9815,1.7228,483677.57,3403.47,3437.58,3436.59,3401.96,2114754.75,26.1,0.77,11283.6,11402.46,11386.91,11283.29,192863424,79.45,0.7
20180117,585.5184,585.964,535.433,548.5336,-40.817,-6.9258,665490.74,3438.58,3465.2,3444.67,3430.51,2610450.25,8.08,0.23,11366.6,11367.16,11303.97,11185.92,213515920,-82.94,-0.73
20180118,552.0093,556.1979,542.5626,546.9294,-1.6042,-0.2925,259718.82,3449.88,3476.55,3474.75,3448.79,2200395.5,30.08,0.87,11287.64,11375.11,11319.91,11279.42,155610112,15.94,0.14
20180119,550.7616,556.0197,542.8299,549.5139,2.5845,0.4725,223640.59,3481.62,3498.43,3487.86,3474.29,2475367.25,13.11,0.38,11314.46,11393.04,11296.27,11276.57,183429280,-23.64,-0.21
20180122,550.0486,560.2974,525.8971,551.9202,2.4063,0.4379,320900.65,3476.99,3503.39,3501.36,3475.67,2174875.25,13.5,0.39,11289.86,11513.08,11513.08,11273.69,181074816,216.81,1.92
